BOR;AN;FI;FI_EJ;LIT;JOU;ENT;DECES;URG_EJ;URG_EXT;MCO_EJ;MCO_EXT;GER_EJ;GER_EXT;SSR_EJ;SSR_EXT;PSY_EJ;PSY_EXT;HAD_EJ;HAD_EXT;DOMIC1;PEGER;EMGER;GERPSY;EMPAL;ALZ;EHPAD;VILHOS;RETR
USLD;2019;010000081;010780112;30;10058;24;21;0;;9;;0;;5;;0;;5;;10;0;0;0;92;0;0;0;0
USLD;2019;010000115;010009132;30;10558;44;13;;;9;45;;;16;;;;3;;;;;;;;2;;
USLD;2019;010009314;010780054;94;30902;74;79;;;16;4;;;40;8;;1;1;;3;;;;;;;;
USLD;2019;010009702;010780054;11;3748;13;4;;;;;;;8;;;;;;3;;;;;;;;
USLD;2019;010786259;010008407;18;6416;9;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;010789576;010780096;30;10536;34;;;;;;;;28;;;;;;6;;;;;;11;7;0
USLD;2019;010789717;010008407;17;6243;11;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;020000089;020000022;30;10502;8;6;0;0;0;0;0;0;4;0;0;0;4;0;2;0;0;0;4;0;0;0;0
USLD;2019;020000162;020000063;60;20213;42;22;0;0;0;0;0;0;16;2;0;2;0;0;22;14;0;0;1;0;17;0;1
USLD;2019;020000535;020000287;44;16060;15;13;;;1;1;;;10;1;;;;;3;;;;;;2;1;
USLD;2019;020004677;020000261;50;15813;64;56;;;;;;;;;;;;;;;;;;;;;
USLD;2019;020005476;020000253;41;13387;14;14;;;5;;1;;;;;;;;8;;;;;;1;;
USLD;2019;020009684;020002085;30;10694;11;10;;;;2;;;;2;;;;;7;;;;5;;;;
USLD;2019;030000061;030780092;80;29141;53;37;0;0;19;2;0;0;25;0;0;0;0;0;7;0;0;0;4;0;0;0;6
USLD;2019;030000079;030780100;60;20793;34;26;;;15;;;;5;4;;;;;10;;69;;3;;0;;
USLD;2019;030000087;030780118;115;40038;79;53;;;7;5;4;;20;4;;;;;27;1206;611;;431;;2;;14
USLD;2019;030000160;030780282;40;14198;18;13;;1;;5;;2;;4;3;;;;3;0;0;0;0;0;3;2;0
USLD;2019;040000093;040780215;30;10849;12;12;;0;;0;;1;;6;;0;;2;3;;;;5;;;;
USLD;2019;040780405;040000168;41;11791;18;5;;;;3;;;9;;;5;;;1;;1;;3;;;1;2
USLD;2019;050000132;050007145;25;8811;13;9;;;;;;;;;;;;;;;;;;;;;
USLD;2019;050000231;050000116;30;11120;11;;;;;;;;;;;8;;;3;0;0;0;0;0;0;0;0
USLD;2019;050000256;050000124;30;9483;10;6;;;;;3;;5;;;;;;1;;;;;;3;;
USLD;2019;050000348;050002948;50;17403;43;25;0;0;0;0;7;1;16;2;0;0;0;0;22;;;;;;10;0;0
USLD;2019;060000510;060780954;20;6827;8;5;0;0;3;0;1;0;1;1;0;0;0;0;3;0;0;0;3;0;2;0;0
USLD;2019;060000551;060781010;41;14265;38;28;;0;;22;;2;;2;;;;12;;0;0;0;0;0;11;0;0
USLD;2019;060002102;060791761;30;10510;23;21;;;;;;;;;;;;;23;;;;;;1;1;
USLD;2019;060019213;060005188;34;11184;46;19;;;;15;;;;5;;;;;26;;;;;;3;9;
USLD;2019;060788957;060785011;61;18489;13;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;060790177;060785011;40;13864;10;;;;;;;;8;;;;;;2;;;;;;5;1;
USLD;2019;060790680;060780897;30;10588;21;7;;;2;;2;;12;4;;;;;3;2;;;8;;1;17;2
USLD;2019;060791811;060010808;75;26645;44;40;;;13;1;;;8;11;;;;;11;0;0;0;0;0;4;2;0
USLD;2019;060794021;060780988;54;18906;29;13;5;;1;;3;;11;;;;;;9;29;14;;1;;;;
USLD;2019;070000047;070780127;75;24644;55;26;;;3;16;;;22;;;;;;14;;;;;;4;17;7
USLD;2019;070784517;070002878;60;21396;18;;1;;12;2;;;23;;;;;;4;;;;;;12;1;
USLD;2019;080000110;080000037;43;13498;31;28;;;2;;7;;16;1;;;;;5;9;;;;;3;1;
USLD;2019;080000276;080001969;20;6432;21;13;;;1;;;;10;;;;10;;;;;;;;;;
USLD;2019;080005960;080000615;65;20874;36;32;;;18;2;;;1;11;;;;;4;;;;;;;;
USLD;2019;090000183;090781816;20;6801;16;13;;;;;;;17;5;;;;;11;;;;1;;1;;
USLD;2019;100000116;100000041;30;10640;25;17;;;;;;;17;;;;;;8;;;;;;5;;
USLD;2019;100000140;100000058;30;10524;23;12;;;;;;;;;;;;;;;;;;;;;
USLD;2019;100000801;100006279;40;14600;40;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;100006493;100000017;70;23047;70;58;;;24;;12;;28;;0;;0;;6;;;;;;1;1;0
USLD;2019;110000049;110780087;30;10923;20;25;0;;3;;;;5;1;;;10;;;;;;;;;;
USLD;2019;110000247;110780772;30;10885;15;10;;;;;;;;;;;;;15;;;20;;;2;;
USLD;2019;110006137;110780061;30;10698;16;8;;;;2;;4;;;;;;;10;;;;6;;11;1;
USLD;2019;110781283;110780137;90;32263;59;51;1;;9;4;;;14;4;;;;;28;0;0;20;0;0;14;0;
USLD;2019;110786746;110786324;30;10722;5;4;;;;;;;5;;;;;;;;;15;;;;;
USLD;2019;120000070;120780085;30;11170;28;26;;;1;;;;5;;;;;;35;;;;;;4;;
USLD;2019;120000088;120780093;30;9867;15;6;;;2;3;;;4;1;;3;;;2;;;;;;;;
USLD;2019;120000153;120780291;40;14600;33;19;0;0;0;2;0;0;6;6;0;1;0;0;12;0;0;0;0;0;8;0;0
USLD;2019;120004668;120004619;40;13953;29;26;0;;2;;3;;17;;;1;;0;2;0;0;0;0;0;1;0;0
USLD;2019;120782263;120780069;80;25740;108;79;;;18;1;29;;6;2;;;;;52;;;;;;15;12;
USLD;2019;120783097;120004528;50;17819;10;16;;;;;;;7;;;;;;3;10;;;;;;;
USLD;2019;120786959;120780044;30;9643;29;18;;;4;;3;;16;2;;1;;;3;;;;;;7;;
USLD;2019;130000516;130781339;56;19822;39;40;;;11;8;;;14;;;;;;0;;;;;;1;;
USLD;2019;130000565;130781446;30;10623;9;10;0;;2;;1;;5;;0;;0;;1;0;0;0;1;0;0;0;1
USLD;2019;130001225;130782634;33;11873;15;;;;2;;1;;7;1;;;;;4;;;5;5;1;1;;
USLD;2019;130001258;130028228;30;9673;36;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;130032758;130001514;80;29017;43;31;;;;9;;;;10;;;;;11;;;;;;1;9;0
USLD;2019;130045263;130007487;;789;15;4;;;;;;;;;;;;;;;;;;;;;
USLD;2019;130782097;130000938;19;6839;10;;0;0;0;1;0;0;0;8;0;0;0;0;1;0;0;0;0;0;0;0;0
USLD;2019;130790157;130789316;30;10878;9;;;;;;;;2;;;;;;16;;;;;;;;
USLD;2019;130798358;130041916;70;23783;47;30;;;1;3;;;11;28;;;;;4;;;;;;;2;
USLD;2019;130808843;920030152;30;706;40;11;;;;;;;12;;;;;;;;;;;;8;20;
USLD;2019;130809015;130001928;150;50802;72;91;;;12;;;;27;;;;;;33;;;;;;3;;
USLD;2019;130811102;130007487;5;986;56;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;140000027;140000035;40;12878;27;23;1;;4;1;6;;3;7;;;;;5;;;;;;2;1;1
USLD;2019;140000241;140026279;30;10382;30;29;;;;;;;;;;;;;;;;;;;;;
USLD;2019;140000373;140000159;26;8499;34;33;;;5;6;11;3;4;;;;;;5;;;;;;1;;
USLD;2019;140012196;140000100;100;34225;85;52;;;38;7;;;1;1;;;;;38;;1;;16;;24;2;
USLD;2019;140013830;140000118;60;21808;31;29;;;6;;5;;9;;;;;;11;;;;;;1;1;2
USLD;2019;140017401;140000092;50;17905;24;23;;;17;8;;;13;3;;;;;32;;;;15;;1;;
USLD;2019;150000032;150780088;37;11711;14;9;;;3;1;;;;3;;;;;7;0;0;4;0;0;2;0;0
USLD;2019;150000040;150780096;46;16346;39;14;;;7;;;;20;;4;;;;8;;1;19;5;;10;1;
USLD;2019;150000164;150780468;27;7723;21;18;;;1;1;;;9;;;;;;10;;;;;;;;
USLD;2019;150000180;150780500;30;10032;41;20;;;9;3;22;;;;;;;;7;;;;;;;;
USLD;2019;150002921;150780468;12;3984;27;1;;;;;;;;;;;;;27;;;;;;;;
USLD;2019;160000188;160000121;53;18014;36;;;;3;;;;1;;;2;;;6;;;;;;6;;
USLD;2019;160000253;160000451;30;10348;34;28;;;5;1;20;;3;2;;;;;3;;;;;;3;;
USLD;2019;160000261;160014411;37;11991;37;29;;;6;;5;;20;2;;;;;4;65;3;;;;;;
USLD;2019;160000303;160006037;80;28549;26;24;;;;;;;13;;;;;;13;;;;;;2;;
USLD;2019;160000311;160000485;30;10263;22;21;;;3;3;;;10;;;;;;6;;22;1;8;;;;
USLD;2019;160000360;160000519;51;18615;33;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;170000152;170780225;50;17052;23;21;;;3;1;3;;10;1;;1;;;4;;0;;2;;;;
USLD;2019;170784110;170024194;92;33049;32;32;;;1;;2;;19;;2;;;;4;;10;;10;;;;
USLD;2019;170792220;170780175;45;15720;21;18;0;;21;1;5;;2;0;0;0;0;0;27;;;;;;;;
USLD;2019;170802789;170780191;50;18108;17;11;;;2;;;;7;;;;;;8;;;;;;4;;
USLD;2019;180000176;180001158;40;14188;17;15;;;;1;;;;7;1;;;;8;;;41;8;;1;;
USLD;2019;180000200;180000051;46;16790;33;;8;;27;;;;;;;;;;3;;;;;;;;
USLD;2019;180000333;180000093;30;10391;27;12;;;;;17;;;;;;;;3;;;;;;6;;
USLD;2019;180003287;180000028;60;21110;33;27;;;4;;;;20;;;;;;9;;;;8;;2;;
USLD;2019;180003386;180000069;41;13729;50;31;;;36;;8;;1;;;;;;5;;;;;;4;;
USLD;2019;180007825;180001158;60;21399;9;7;;;;1;;;;2;;1;;;4;;;48;3;;1;;
USLD;2019;190000018;190000042;22;7945;12;8;;;;;13;;2;;;;;;1;;8;;;1;6;;
USLD;2019;190000034;190000067;30;10549;21;10;;;5;1;;3;6;;;;;6;;;;4;;;;;3
USLD;2019;190000091;190000075;30;10899;12;8;0;;0;;0;;0;6;0;;0;;6;;;;;;;;
USLD;2019;190002493;190000059;53;19345;34;21;;;24;;12;;33;;;;1;;;;;;;;;;
USLD;2019;190005140;190002485;30;10018;32;20;0;0;0;1;0;9;0;7;0;1;0;0;14;32;4;0;0;0;6;0;0
USLD;2019;190005165;190002519;71;24606;61;33;;;;;;;;;;;;;;;;;;;;;
USLD;2019;210986329;750043713;30;9580;11;13;;;;;;;;3;;;;;8;;;;;;1;;
USLD;2019;210987574;210012175;30;10019;17;14;0;0;5;2;;0;0;1;;;;;7;;;;;;3;1;
USLD;2019;210987616;210012175;30;9486;26;19;0;0;4;0;1;0;1;0;0;0;0;0;20;;;;;;3;0;0
USLD;2019;210987673;210012142;2;37;2;0;;;;;;;;;;;;;;;;;;;;;
USLD;2019;210987939;210780607;42;15223;7;6;;;;;;;3;;3;;;;1;0;0;0;0;0;0;0;0
USLD;2019;220000095;220000046;60;20890;52;37;;;6;;;;35;1;;;;;10;;;;;;7;;
USLD;2019;220000343;220000079;30;10211;30;31;0;0;6;3;2;1;1;0;0;1;0;0;16;0;0;0;0;0;1;0;0
USLD;2019;220000368;220000103;30;10950;56;52;;;11;2;6;;20;;;;1;;16;;;;;;2;2;
USLD;2019;220000566;220021968;30;10848;23;15;;1;11;;;;6;2;;;;;3;;;1;;;6;2;
USLD;2019;220001259;220005045;60;19612;37;37;;;;;13;;12;;;2;;;10;;;;;;4;;1
USLD;2019;220006423;220000152;30;9585;12;16;;;4;;1;;3;2;;;;;2;;;;;;1;1;
USLD;2019;220014138;220017974;30;9693;31;24;;;;7;;;6;9;;;0;;1;;;;;;;;
USLD;2019;230000259;230780041;50;18250;37;36;;;6;1;;;29;1;;;;;;57;36;6;40;0;;;
USLD;2019;230000838;230780058;30;9674;24;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;230000846;230780066;30;9061;32;24;;;;;;;;;;;;;;0;0;0;23;0;;;
USLD;2019;230000952;230780512;30;9794;15;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;230000960;230780520;30;10086;17;13;;;;4;;;9;1;;1;;;2;;;;;;1;;
USLD;2019;240000372;240000059;50;16866;36;29;0;;16;;4;;14;;0;;0;;2;0;0;0;33;0;0;0;0
USLD;2019;240000471;240000109;30;10792;36;24;;;3;1;;1;17;3;;;;;3;;;1;;;9;;
USLD;2019;240000489;240000117;60;20291;41;33;0;0;4;1;0;0;6;6;0;0;0;1;14;0;0;0;0;0;5;0;0
USLD;2019;240000539;240016055;60;20616;36;23;;;6;1;;;7;9;;;8;;;;;;;;4;;
USLD;2019;240000687;240000448;40;14525;15;8;;;3;;;;4;;1;;;;7;;;;;;0;1;0
USLD;2019;250000627;250000221;30;10761;18;12;;;3;;;;7;;;;;;4;;;;;;3;;
USLD;2019;250000635;250000239;20;7214;15;12;;;3;;;;6;;;;;;6;14;14;9;4;0;1;0;0
USLD;2019;250000882;250002839;30;10665;21;14;;;;;;13;;3;;;;;32;;;;;;6;1;
USLD;2019;250001237;250007598;60;21395;22;25;;;;11;;;;41;;3;;;33;;;;;;;;
USLD;2019;250001252;250007788;91;32748;16;24;;;;;;;;;;;;;;;;;;;;;
USLD;2019;250004009;900000365;30;10872;17;13;0;0;1;0;0;0;15;0;0;0;0;0;1;0;0;0;2;0;2;1;0
USLD;2019;250007234;250000452;30;10891;8;6;;;;;;;;;;;;;;;;;;;;;
USLD;2019;260000013;260000021;74;25925;64;53;;;;;;;;;;;;;;;;;;;;;
USLD;2019;260000138;260000047;40;14446;16;4;;;5;;;;5;;;;1;;5;;0;;;;0;;
USLD;2019;260000195;260006770;58;20081;32;32;;;2;;;;13;11;;;;;6;;;;;;;;
USLD;2019;260000823;260003264;33;11311;11;4;;;;;;;1;;10;;;;;;;;;;8;;
USLD;2019;270000367;270000086;55;19784;25;21;;;1;2;;;4;3;;;;;;;;;2;;1;1;
USLD;2019;270000425;270000102;37;13294;17;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;270000441;270000110;50;16328;49;36;;;11;;;1;15;3;;;;;19;;;;;1;10;;
USLD;2019;270000516;270000177;30;10460;17;16;;;;;;14;3;;;;;;;0;0;0;0;0;4;0;0
USLD;2019;270026107;270023724;30;10295;30;20;;;;;12;;;8;;;;;8;;;;;;3;2;
USLD;2019;280000050;280000142;50;17896;6;6;0;0;0;1;0;0;0;1;3;0;0;0;1;0;0;0;0;0;0;0;0
USLD;2019;280000084;280000183;92;32624;27;14;;;1;;;;18;;;;;;8;;;;25;;;;
USLD;2019;280000100;280000225;36;11943;31;24;;;3;;;;6;7;;;;;15;0;0;0;0;0;4;1;
USLD;2019;280000662;280500075;40;14189;21;14;0;0;1;0;5;0;28;0;0;1;0;0;15;0;0;0;0;0;6;0;0
USLD;2019;290000033;290021542;10;3285;19;12;;;;;2;;5;2;;;;;8;30;0;;2;0;5;;
USLD;2019;290000066;290020700;34;11057;45;38;;;8;3;4;;;20;;;;;10;;;;;;;;
USLD;2019;290000553;290021542;90;32632;22;15;;;;;4;1;8;;5;;;;5;121;0;59;13;;5;;
USLD;2019;290000785;220020739;48;17310;18;22;0;0;0;0;0;0;10;2;0;0;0;0;6;;;;;;0;0;0
USLD;2019;290008853;290000074;30;10212;24;21;4;;1;2;;;6;5;;;;;3;;;;;;;;
USLD;2019;290014687;560005746;30;10755;12;8;;;;;;;;;;;;;;;;;;;;;
USLD;2019;290017946;290000017;118;47831;47;42;0;0;3;0;3;0;5;3;3;0;0;0;3;;;52;12;0;8;0;0
USLD;2019;290024462;290000298;56;19576;14;5;;;;;;;;;9;1;;;3;;;67;;;8;;
USLD;2019;290025113;290020700;30;10518;29;35;;;2;;2;;;8;;;;;17;;;;;;14;;
USLD;2019;290025147;290020700;30;10866;17;12;;;1;;2;;;4;;2;;;8;;;;;;7;;
USLD;2019;2A0000212;2A0000170;30;9589;17;11;0;0;1;5;0;0;4;0;0;0;0;0;7;0;0;0;12;0;0;1;0
USLD;2019;2A0002614;2A0002606;30;8821;16;7;;1;5;;;1;5;;;;;;4;;;;;;;;1
USLD;2019;2A0023271;2A0000014;70;25550;46;22;0;0;7;0;4;0;22;2;0;0;0;0;44;0;0;0;10;0;;;
USLD;2019;2B0000038;2B0004246;10;1983;4;2;;;;;4;;;;;;;;;;;;;;;;
USLD;2019;2B0004089;2B0000020;30;9792;21;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
USLD;2019;2B0005359;2B0005342;20;7075;14;10;;;9;5;;;;;;;;;;0;0;0;0;0;;;
USLD;2019;300000031;300780053;30;10762;10;7;;;2;;;;;;;;;;8;0;0;1;0;0;2;1;0
USLD;2019;300000064;300780087;30;10675;27;13;;;10;8;;;1;1;;;;;7;0;0;0;0;0;2;12;0
USLD;2019;300000072;300780095;30;10853;26;14;;;10;4;;;7;2;;;;;3;;;;;;3;;
USLD;2019;300012481;300780046;27;9782;16;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;300012499;300780046;63;22796;38;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;300782125;300780038;190;65635;194;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;310000310;310780671;60;20084;42;35;;;35;;;;3;1;;;;;3;;;;;;5;;
USLD;2019;310000336;310780713;61;21416;40;23;;;;;;;;;;;;;;;;;;;;;
USLD;2019;310013628;310786256;53;18961;29;24;;;;3;3;;9;11;;;;;3;;;;5;;4;1;
USLD;2019;310021571;310021563;58;20549;32;28;;;;;;6;22;4;;;;;;;;;;;2;;
USLD;2019;310022298;310781406;60;21066;42;36;6;0;1;1;3;0;23;5;0;0;0;0;3;0;0;0;0;0;2;1;0
USLD;2019;310786702;750043713;76;25987;39;43;;;;6;;;18;;;;;;15;;;;;;4;;
USLD;2019;310794094;310780754;80;28165;30;17;;;;;;;;;;;;;;;;;;;;;
USLD;2019;320000086;320780117;70;24799;44;36;0;0;3;0;0;0;26;7;0;0;0;0;4;0;0;8;2;0;3;2;1
USLD;2019;320000102;320780133;35;11057;27;;0;;;27;;;;;;;;;;0;0;0;0;0;;;
USLD;2019;320000128;320780158;30;10656;28;21;;;;;;;10;15;;;3;;;;;;;;;;
USLD;2019;320000144;320780174;30;10660;28;17;0;0;4;2;0;0;18;1;0;2;0;0;0;0;0;6;0;0;2;0;5
USLD;2019;320000177;320780208;30;10334;23;17;;;17;4;;;;;;;;;1;;;;15;;;;
USLD;2019;330000571;330781220;20;6779;17;11;;;;;;4;;;;;;;;;;;;;;;
USLD;2019;330000613;330781261;60;20200;44;32;;;2;8;;;10;16;;;;;8;;;;;;;4;
USLD;2019;330005182;330792862;50;17841;32;25;;;;;;;;6;;1;;;2;0;0;1;0;0;72;;
USLD;2019;330781337;330781196;120;41078;59;47;20;;48;;;;38;;;;;;61;167;;;;;2;;
USLD;2019;330791641;330056540;80;28598;42;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;340000033;340780055;143;49786;118;31;;;;;;;;;;;;;;;;;;;;;
USLD;2019;340000215;340780519;28;9760;27;10;;;4;4;;;4;;;;;;11;;;;;;0;0;0
USLD;2019;340000231;340780535;49;17218;34;31;;;6;5;;2;5;1;;;;;15;;;9;;;3;;
USLD;2019;340008275;340780477;45;21926;35;;1;0;0;0;6;0;2;0;0;0;0;0;25;0;0;2;1;0;9;0;0
USLD;2019;340024512;340001825;80;27502;30;19;;;;;;9;5;;;2;;;14;;;;;;5;;
USLD;2019;340780436;340011295;35;12210;46;;0;0;18;1;9;0;13;0;0;0;0;0;5;;;;;;;;
USLD;2019;340780444;340009893;30;10742;14;12;;;4;;;;5;;;;5;;;;;;;;;;
USLD;2019;340782481;340780477;95;26860;89;;2;0;4;1;13;1;27;6;0;0;0;0;32;0;0;0;1;0;19;0;0
