BOR;AN;FI;RS;FI_EJ;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APR15;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;NRML;NBLIB;NBSAL;CAR;SAMUSDIS
SMURSAMU;2020;010000024;CH DE FLEYRIAT;010780054;1;1;0;0;0;;0;1;336;336;252;2;2;;;1515;363;287;;;;2165;509;200;63;2;244;1311;149;319;827;484;312018;3917;304382;272432;186837;183609;76839;223;168;471;622;0;3;0;10694;1
SMURSAMU;2020;010000032;CH DE BELLEY;010780062;1;1;0;0;0;;0;0;163;151;151;0;2;0;0;458;55;0;8;2;0;523;254;56;4;26;148;320;39;123;148;172;;;;;;;;;;;;;;;;
SMURSAMU;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;1;0;0;0;;0;0;168;168;168;;1;;;544;22;0;0;0;0;566;219;73;2;32;192;448;52;103;308;140;;;;;;;;;;;;;;;;
SMURSAMU;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;1;1;0;0;0;;0;0;168;168;168;1;1;;;728;21;;;;;749;400;80;0;33;287;615;;;364;251;;;;;;;;;;;;;;;;
SMURSAMU;2020;020000162;CH SAINT-QUENTIN;020000063;1;1;0;0;0;;0;0;0;0;336;2;2;0;0;1052;80;280;15;99;0;1526;363;159;3;36;165;855;61;138;804;51;;;;;;;;;;;;;;;;
SMURSAMU;2020;020000394;CH LAON;020000253;1;1;0;0;0;;0;1;336;336;336;3;2;1;0;979;449;3;85;271;0;1787;471;109;13;40;251;674;45;114;448;226;229561;;213727;172954;115991;101720;36276;248;168;80;360;0;0;;2205;0
SMURSAMU;2020;020000519;CH SOISSONS;020000261;1;1;0;0;0;;0;0;168;168;168;;1;;;742;2;;;;;744;302;129;2;48;122;562;50;192;544;18;;;;;;;;;;;;;;;;
SMURSAMU;2020;020000535;CH CHAUNY;020000287;1;1;0;0;0;;0;0;168;168;168;1;1;;;577;1;;;;;578;310;84;10;26;187;267;10;63;154;113;;;;;;;;;;;;;;;;
SMURSAMU;2020;020001061;CH CHÂTEAU-THIERRY;020004404;1;1;0;0;0;;0;0;168;168;129;1;1;;;590;134;;6;;;730;122;87;4;8;23;527;35;102;466;61;;;;;;;;;;;;;;;;
SMURSAMU;2020;020001087;CH HIRSON;020004495;1;1;0;0;0;;0;0;336;205;168;;1;;;561;7;0;0;0;0;568;293;19;10;10;253;276;43;131;237;39;;;;;;;;;;;;;;;;
SMURSAMU;2020;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;1;0;0;0;1;020000063;0;0;24;24;0;0;0;0;0;54;0;0;0;0;0;54;39;8;0;3;28;15;2;2;2;13;;;;;;;;;;;;;;;;
SMURSAMU;2020;030000061;CH DE MOULINS;030780092;1;1;0;0;0;;0;1;168;252;230;2;2;0;0;828;231;16;16;25;0;1116;371;112;6;110;143;454;41;77;380;74;256308;40123;210781;200229;138759;113605;40770;326;181;145;532;1;3;0;1389;0
SMURSAMU;2020;030000079;CH DE MONTLUCON;030780100;1;1;0;0;0;;0;0;336;336;223;1;2;0;0;912;219;;46;;;1177;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2020;030000087;CH JACQUES LACARIN VICHY;030780118;1;1;0;0;0;;0;0;336;336;336;2;2;0;0;1084;107;0;94;11;0;1296;482;169;;119;163;613;53;108;559;54;;;;;;;;;;;;;;;;
SMURSAMU;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1;1;0;0;0;;0;0;238;168;0;1;2;;;513;127;;;;;640;216;83;5;29;95;382;19;58;248;134;;;;;;;;;;;;;;;;
SMURSAMU;2020;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;1;1;0;0;0;;0;0;336;434;0;;;;;354;33;0;0;0;0;387;67;61;5;1;0;277;20;103;125;152;;;;;;;;;;;;;;;;
SMURSAMU;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1;1;0;0;0;;0;1;168;168;168;0;2;0;0;270;32;0;151;12;0;465;37;25;0;0;12;428;0;0;274;154;153681;8938;144743;138432;64674;36112;11140;293;168;125;252;0;8;0;381;0
SMURSAMU;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;1;1;0;0;0;;0;0;125;168;0;;;;;191;19;;339;8;;557;;;;;;;;;;;;;;;;;;;;;;;;;;
