BOR;AN;FI;RS;FI_EJ;PSY_A22;PSY_A23;PSY_A24;PSY_A25;PSY_A26;PSY_A27;PSY_A28;PSY_B23;PSY_B24;PSY_B25;PSY_B26;PSY_B27;PSY_B28;PSY_C22;PSY_C23;PSY_C24;PSY_C25;PSY_C26;PSY_C27;PSY_C28;PSY_D22;PSY_D23;PSY_D24;PSY_D25;PSY_D26;PSY_D27;PSY_D28;PSY_E22;PSY_E23;PSY_E24;PSY_E25;PSY_E26;PSY_E27;PSY_E28;PSY_A38;PSY_B38;PSY_A39;PSY_B39;PSY_A40;PSY_B40;PSY_A41;PSY_B41;PSY_A42;PSY_B42;PSY_A43;PSY_A44
PSY2;2020;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;14679;71;10;1;33;546;216;91;1;1;50;480;224;58725;4047;2155;0;313;21453;6148;6026;16;0;0;0;146;24;153061;845;10;3;35;2430;378;1;7.16;1;9.49;0;;0;;0;;0;0
PSY2;2020;010010171;CLINIQUE DE CHATILLON;010011559;851;;;;;;;;;;;;;23860;;;;;;;4982;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;020000386;CLINIQUE DE LA ROSERAIE;020000600;407;;;;;;;;;;;;;27586;;;;;;;1497;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;1746;42;2;0;57;231;167;42;2;0;98;266;167;101551;4072;732;0;735;9166;4171;8548;0;0;0;0;8;0;168779;968;0;0;26;1099;1103;1;5;1;1;1;0.5;1;;0;;0;0
PSY2;2020;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;410;;;;;;;;;;;;;18302;;;;;;;2243;;;;;;;;;;;;;;0;;1;13.24;0;;0;;0;;0;0
PSY2;2020;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020000063;3140;21;0;0;0;38;47;51;0;0;0;47;61;13915;705;0;0;0;1221;2507;7835;59;0;0;0;322;163;23923;4;0;0;0;1;1;1;1.5;1;1.5;0;;0;;0;;0;0
PSY2;2020;030000061;CH DE MOULINS;030780092;4426;21;1;2;18;134;12;16;1;4;27;149;18;42953;1184;218;27;187;7732;537;8705;233;;20;;567;98;46343;284;;33;;525;92;1;0.8;1;35.07;1;34.5;0;;0;;0;0
PSY2;2020;030000087;CH JACQUES LACARIN VICHY;030780118;3047;12;;;;141;18;12;;;;141;18;19051;1698;;;;7189;19;4580;30;;;;1192;10;55232;369;;;;1681;18;0;;1;37.8;1;2.6;0;;0;;0;0
PSY2;2020;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;838;0;0;0;0;0;0;0;0;0;0;0;0;123131;0;0;0;0;0;0;0;0;0;0;0;0;0;19769;0;0;0;0;0;0;0;;1;1.3;0;;0;;0;;0;0
PSY2;2020;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;176;19;;;;55;34;61;;;;87;27;7514;1203;;;;1787;1105;4982;217;;;;250;154;46460;1751;;143;;3222;1992;1;0.5;1;20.77;1;3.6;0;;0;;0;0
PSY2;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;6340;29;2;0;1;114;97;42;2;0;1;156;99;22131;2736;373;0;18;7187;2951;12644;810;34;0;6;2398;1162;69530;737;1;1;0;951;423;1;0;1;31.01;1;18.23;0;;0;;0;1
PSY2;2020;050000132;CH BUECH DURANCE;050007145;604;15;0;0;0;53;45;9;0;0;0;48;41;21804;508;0;0;0;1345;1574;4224;159;0;0;0;86;40;64122;500;0;0;0;1157;1479;0;;0;;0;;0;;0;;0;0
PSY2;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;874;;;;;;;;;;;;;3369;;;;;;;1155;;;;;;;14151;;;;;;;;;;;;;0;;0;;0;0
PSY2;2020;050000454;LE FUTUR ANTERIEUR;050000645;67;;;;;;;;;;;;;8110;;;;;;;;;;;;;;;;;;;;;0;;0;;1;;0;;0;;0;0
PSY2;2020;050000991;CENTRE MEDICAL CHANT'OURS;050000546;247;;;;;;;;;;;;;10450;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1524;;;0;0;;;14;3;0;0;102;4;5208;;;0;0;;;1268;;;0;0;;;20892;;;0;0;;;;;;;;;0;;0;;0;
PSY2;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;6305;73;0;0;1;227;11;41;0;0;1;173;6;14235;2110;0;0;0;5598;68;2694;182;0;0;0;87;0;47383;491;0;0;2;774;30;;;;;;;0;;0;;0;
PSY2;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;3820;45;5;1;3;161;9;47;5;1;3;162;9;10502;1394;747;13;36;5878;323;2275;;;;;28;;42989;423;62;3;11;2041;149;1;3.64;0;;1;6.66;0;;0;;0;0
PSY2;2020;060780442;CLINIQUE SAINT FRANCOIS;060000213;609;;;;;;;;;;;;;20910;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;060780525;CLINIQUE LE VAL D'ESTREILLES;060000247;587;;;;;;;;;;;;;20425;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;060780541;CLINIQUE LA GRANGEA;060000262;647;;;;;;;;;;;;;21356;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;060780749;CLINIQUE SAINT LUC;060000395;330;;;;;;;;;;;;;12754;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;060780996;CHS SAINTE MARIE NICE;630786754;1003;182;26;12;18;461;101;149;10;12;20;442;94;50695;18220;4481;441;434;25587;5171;11050;305;198;;;11;6;131586;5792;1495;94;;1325;73;1;;1;64.43;0;;1;35.48;1;19.85;0;0
PSY2;2020;060781929;CLINIQUE DE LA COSTIERE;060000858;706;;;;;;;;;;;;;26827;;;;;;;5468;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;3223;64;8;1;1;126;14;;;;;;;10527;2276;788;10;19;5472;733;2207;52;15;;;151;;25481;943;197;;;293;24;1;4.22;;;;;;;;;0;
PSY2;2020;060800174;FONDATION LENVAL;060800174;4741;;;0;;;;;;;;;;5521;;;0;;;;9324;;;;;;;35788;;;;;;;1;;0;;1;5.6;0;;;;0;0
PSY2;2020;070005046;CH DROME-VIVARAIS - HDJ/CMP ADU GUIL.;260003264;1610;6;1;1;1;30;14;6;1;1;1;32;15;;;;;;;;1900;;;;;;;13406;146;4;1;10;253;119;0;;0;;0;;0;;0;;0;0
PSY2;2020;070780317;CHS SAINTE-MARIE PRIVAS;630786754;9289;68;6;;6;410;187;80;3;;10;461;205;47329;4994;437;;81;17524;4899;11577;136;1;;;279;60;74757;485;30;;13;984;453;1;0.5;1;38.27;0;;0;;0;;0;0
PSY2;2020;080000318;CENTRE HOSPITALIER BELAIR;080000086;6413;53;4;3;7;277;240;27;1;1;10;208;214;44971;592;470;35;40;7785;5862;11039;25;60;3;;274;169;75814;750;86;28;;2642;1536;1;0.5;1;37.61;1;5.26;0;;0;;0;0
PSY2;2020;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;5830;74;6;0;8;204;50;44;3;;7;158;49;19023;3360;566;0;33;7371;2195;3433;169;14;0;0;252;0;62522;619;11;0;0;872;86;1;;1;0.86;1;2;0;;0;;0;0
PSY2;2020;100000108;EPSMA;100000033;8171;75;10;2;9;197;66;56;11;2;4;188;64;44534;3249;1396;18;15;8176;2043;11101;1033;448;0;;548;359;97184;1841;134;0;99;1774;398;1;1.19;1;40.62;1;30.73;0;;0;;0;0
PSY2;2020;110002953;CH NARBONNE HJ PSY ADULTE PSYCHOTIQUE;110780137;416;14;;;;101;18;14;;;;75;18;9236;519;;;;4596;558;2531;;;;;;;;;;;;;;1;;0;;1;;0;;0;;0;0
PSY2;2020;110780152;CLINIQUE DE MIREMONT;110000064;501;;;;;;;;;;;;;25629;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;110786324;ASM;110786324;6639;58;0;0;3;268;59;59;0;0;4;289;63;37521;2830;0;0;12;11838;1721;6371;95;;;;68;;64754;875;;;;1652;84;1;1.95;1;7.35;1;27.04;0;;0;;0;0
PSY2;2020;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;1;;0;;0;;0;
PSY2;2020;120004569;CH MILLAU;120004528;2585;;;;;;;;;;;;;7157;;;;;;;4418;;;;;;;33598;;;;;;;1;1.8;0;;1;3.9;0;;0;;0;0
PSY2;2020;120780283;CHS STE MARIE;630786754;9095;67;2;;7;235;232;35;2;;5;227;240;56291;1090;507;;21;6054;5633;8068;136;30;;;90;45;98759;1341;109;;73;1535;1319;0;;1;5.52;0;;0;;0;;0;0
PSY2;2020;130000235;CHS EDOUARD TOULOUSE;130780554;10482;152;32;3;30;317;175;155;32;3;34;356;183;42039;7352;3013;29;386;11814;6309;15717;316;664;0;0;254;290;187799;2701;1609;21;83;2332;773;1;2.02;0;;1;27.7;0;;0;;0;0
PSY2;2020;130000433;CHS MONTPERRIN;130781131;17812;174;3;;77;594;263;216;4;;122;929;398;56467;5169;661;;613;18711;9447;14065;167;;;;753;238;196599;2123;12;;2526;4638;1929;1;2.73;1;27.39;1;32.33;0;;0;;0;
PSY2;2020;130002496;CHS VALVERT MARSEILLE;130786494;8702;67;8;1;10;218;113;114;15;0;10;232;105;25407;2087;817;0;94;5951;2741;15790;332;13;0;0;119;85;189069;2314;120;165;13;2453;942;1;2.52;1;6.39;1;20.92;0;;0;;0;0
PSY2;2020;130002827;CH JOSEPH IMBERT D'ARLES;130789274;2810;11;;;4;47;7;3;;;0;0;1;8149;354;;;;1202;36;2855;;;;;101;;39625;23;;;7;86;11;1;0.2;1;0.2;1;9.34;0;;0;;0;0
PSY2;2020;130010648;CLINIQUE SAINT MICHEL;130010648;376;;;;;;;;;;;;;29118;;;;;;;2076;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;130780273;MAISON DE SANTE DE SAINTE MARTHE;130000151;443;;;;;;;;;;;;;24169;;;;;;;1299;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;130780521;APHM HOPITAL NORD;130786049;41;;;;138;;;;;;138;;;5054;;;;5676;;;;;;;;;;;;;;;;;;;;;;;0;;0;;1;0
PSY2;2020;130781065;CLINIQUE PSYCHIATRIQUE LA JAUBERTE;130000417;644;0;0;0;0;0;0;0;0;0;0;0;0;24355;0;0;0;0;0;0;3475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;;0;0
PSY2;2020;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;5515;55;8;0;11;189;39;49;8;0;13;194;74;20168;3008;364;0;107;6135;2169;4616;95;11;0;0;32;2;54191;12;8;0;0;94;74;0;;0;;0;;0;;0;;0;0
PSY2;2020;130783764;CLINIQUE MON REPOS;920030269;1207;;;;;;;;;;;;;95871;;;;;;;3274;;;;;;;;;;;;;;0;;1;;0;;0;;0;;0;
PSY2;2020;130784085;CLINIQUE L'EMERAUDE;920030921;1192;;;;;;;;;;;;;72765;;;;;;;11575;;;;;;;;;;;;;;0;;0;;1;28.35;0;;0;;0;
PSY2;2020;130784234;APHM HOPITAUX SUD SAINTE MARGUERITE;130786049;1740;50;6;;10;152;70;48;6;;13;164;70;14948;2936;1193;;601;4900;2136;8112;21;2;;612;3;;77798;14;;;;55;8;;;;;;;0;;1;41.74;0;1
PSY2;2020;130784291;CLINIQUE DES TROIS CYPRES;130001696;621;;;;;;;;;;;;;38610;;;;;;;7595;;;;;;;;;;;;;;0;;0;;1;32.31;0;;0;;0;0
PSY2;2020;130784549;CLINIQUE DE POST CURE PSY LA BASTIDE;130001811;84;;;;;;;;;;;;;30367;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;130784606;CLINIQUE SAINT ROCH MONTFLEURI;130001860;867;;;;;;;;;;;;;72007;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;;;0;0
